identify	message	emotion	category
2018-Es-06796	La vida ya de por sí es peligrosa, no por las personas que hacen mal, sino por las que se sientan a ver cómo pasa.	miedo	2
2018-Es-06846	@ShunOfLove -Cuánta confianza y alegría, sobretodo su 0 temor a el... Pero bueno. Sonrisa leve- ¡Gracias, chica!~	miedo	0
2018-Es-00605	26 mmm sospechoso jajaja la mejor con vos 😘😘	miedo	0
2018-Es-04552	#Temblor 4.5 de magnitud. Desde Caracas, un piso 11. 	miedo	2
2018-Es-01176	Después de todo aún me pones nerviosa... Te extraño	miedo	1
2018-Es-02642	Este año salen tantas pelis de terror quiero ir a verlas con alguien saben!😊	miedo	1
2018-Es-00134	"Practiquen el derecho y la justicia. Libren al oprimido del poder del opresor." - Jeremias 22:3	miedo	0
2018-Es-01098	@witch_scm Con la dos primeras ya eres especie peligro de extinción	miedo	1
2018-Es-02379	"No me va a temblar el dedo" -antonella bernal	miedo	0
2018-Es-05187	Tengo miedo de hacer matrícula	miedo	3
2018-Es-03001	Olvidé de del tal cabeza e mango, otro peine del gobierno...nuestra preocupación y objetivo es el gran evento nacional del #16deJulio	miedo	1
2018-Es-06873	Le daria un like al que dibujara a mi oc con vestido (esto no lo vera nadie mas que nicole, aunque me debería asustar un poco...)	miedo	1
2018-Es-05676	titi iba a poner la alarma en la calculadora JAJAJAJJA	miedo	0
2018-Es-05840	Me puse a llorar de mal y después paraba enojada y decia soy fuerte. Que onda Es como si el diablo me quiere mal y Dios me dice no caigas❤	miedo	1
2018-Es-02672	Mañana tengo que actuar lpm toy nervioso, vah es verguenza? Jajaja de travesti lpm 😂😂	miedo	1
2018-Es-01022	Paula está indignada y yo que no tengo ni para indignarme	miedo	1
2018-Es-03967	—Le está dando mucha pena Kelly porque intuye que no lo entiende— Cosas que los niños no hacen todavía, pequeñaja. Ellos dos son mayorcitos.	miedo	1
2018-Es-04373	@losmartines Vamoooos #PeñA!!! El coach está demostrando que es gigante!!!#Leo	miedo	0
2018-Es-03287	@albanagrigo Jajajajajajajajajajajaja fue lo mas y mas cuando perdió el arito jajjaajja	miedo	0
2018-Es-02164	Cómo me enferrrrman estás cosassss 	miedo	2
2018-Es-06008	Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭	miedo	1
2018-Es-00358	Que bajón me dio ver eso 😭	miedo	3
2018-Es-01511	@rodaned contestaste con un insulto, por eso te pregunto si estas nervioso	miedo	0
2018-Es-00380	@germxnthief < espalda del rubio, la cuál probablemente estaría marcada, pero ni con eso logró sofocarlo pues un gruñido salió de sus >	miedo	1
2018-Es-01314	es que archie colega sólo tienes músculos y judhead mira en serio ojalá te hubieran matado a ti y no a jason	miedo	1
2018-Es-04038	Pesa mas la #rabia q el #cemento	miedo	0
2018-Es-05490	@ObservadBinario Es preferible salir por Cúcuta. Por Maicao es demasiado peligroso	miedo	3
2018-Es-00706	vivo cansada como que el cansancio ya es parte de mi, me acostumbre	miedo	1
2018-Es-00730	Menos amor  y mas Aleteo 🎼🎼🎼🎼🎻🎻🎻	miedo	0
2018-Es-03931	"Es que mi nivel de madurez es superior al de los demás"  - Una amargada.	miedo	0
2018-Es-02617	A dormir, 1 fav = 1 pesadilla	miedo	1
2018-Es-05682	Una feminista quemó una revista Playboy. Hugh Hefner debe estar super preocupado en su mansión.	miedo	0
2018-Es-05008	@lareina_alerta @MuniLaReina actividad sospechosa, vecinos y yo llamamos al 1419, quedaron de mandar un móvil y no llegó.	miedo	1
