identify	message	emotion	category
2018-Es-03627	Cualquiera se cansaría de hablar conmigo, no hay ni de qué hablar soy la persona mas aburrida y más sencilla del mundo🤷🏼‍♂️	tristeza	2
2018-Es-01065	Todavía duele... 	tristeza	3
2018-Es-03153	@3decorazones3_ Lamentablemente asi es mucha gente	tristeza	1
2018-Es-01454	Que estén mis sobrinos en casa me genera mucho mal humor cuando estoy desde las 6 despierta y no dormí siesta. 😡	tristeza	1
2018-Es-06073	Llorarás más de diez veces por amorrr	tristeza	3
2018-Es-02637	1o de julio: fue cuando empezaste a cambiar conmigo. Han pasado 86 días y sigo extrañándote mucho. Tus palabras, las llamadas inesperadas. 	tristeza	3
2018-Es-06290	@BlueValerie_ lamentablemente son cabezas de termos,no entienden	tristeza	1
2018-Es-02150	@Camila_Cabello lo que me mata en vida es saber que viviendo en Mex puedo morir a causa de un terremoto y no conocerte 😢	tristeza	3
2018-Es-01485	Me tiene todo tan cansada	tristeza	1
2018-Es-06344	Tu clamor pone al diablo a temblar, tu Alabanza lo confunde. #LaAdoraciónADiosEngrandeceLaNación	tristeza	0
2018-Es-03765	Se enojo 😂😂😂	tristeza	0
2018-Es-01563	Tú qué sabes de dolor y de tristeza sí no te la pasaste llorando todo un capítulo de Glee. 	tristeza	2
2018-Es-03341	@ZeroSagitary a pesar de lo simple que suena nunca la e probado o no recuerdo comer algo con esa apariencia	tristeza	0
2018-Es-06435	10 me enteré un par tuyas, sos peligrosa	tristeza	0
2018-Es-05029	@tinchomoretti @elOrdenMundial Imaginate que terror ser ciudadano británico y que te quiera absorber Argentina. Salí de ahí maravillaaaaa	tristeza	1
2018-Es-02050	Acabo de ver Okja y si que es muy triste. ☹️	tristeza	3
2018-Es-04463	Tantos cambios y la vida no te pregunta si los quieres, casi siempre los impone y las dos opciones que quedan es aceptar o seguir llorando.	tristeza	3
2018-Es-04766	Deberían haberse rajado con la comida siquiera, para no llegar desesperado a comer.	tristeza	0
2018-Es-03825	Tan resentida vas a estar locaaa?	tristeza	0
2018-Es-06146	Viene mi hna con las amigas y se quedan a dormir y yo aca del helado de la musica depre y llorando van a pensar que estoy loca bueno	tristeza	3
2018-Es-04007	@lautaro_capitan Jajajajajaja no me podía resistir, en serio!!!!!	tristeza	0
2018-Es-06792	@sloowlifee Jajajajajajaja ¿en serio el alacrán? :(	tristeza	0
2018-Es-04048	Vale .... tengo depresión y mis padres quieren llevarme un rato al departamento de mis abuelos a las 9:48Pm y encima a obligación	tristeza	2
2018-Es-06837	Se me está partiendo el corazón en 10. 	tristeza	3
2018-Es-06053	Me da miedo la oscuridad	tristeza	1
2018-Es-06226	@melnicksergio @Guillermoic De acuerdo contigo no vale la pena comentar a Yuraszeck	tristeza	0
2018-Es-05001	Que feo,que anden matando gente en la calle,se ah puesto peligroso en Danlí,ya ni se puede salir a pie a comprar a la Pulpería. 😓😔😖	tristeza	2
2018-Es-05684	Que aburrida la gente que quiere quedar bien con todo el mundo siempre	tristeza	1
2018-Es-03856	Recién levantado y ya enfadado! Muy bien todo . Buenos días	tristeza	0
2018-Es-02679	#Nostalgia En unas horas es el lanzamiento oficial de la secuela de Splatoon 😆 siempre recordaré al primero con mucho gusto. 😢	tristeza	1
2018-Es-01711	es algo q te hace infeliz naa posta comparto mg like rebloggear	tristeza	1
2018-Es-02812	@DianaVaazquez que oso y llegarás mañana a hacerla 😥	tristeza	0
2018-Es-05175	JAJAJAJAJAJAJJAJA la Andrea está viendo "Laura" que tanto está aburrida	tristeza	0
2018-Es-05820	Hasta que punto del límite puede llegar una ex resentida? 😂	tristeza	0
2018-Es-02711	Sivpaso por tu lado y no telsaludo no lo tomes como enojo que los amores que se quieren se saludan con gos oj,s.	tristeza	1
2018-Es-04899	@FerivRivera Pero una que busca algo bien, ellos solo quieren diversión 	tristeza	0
2018-Es-03490	Yo tengo dos tipos de celos, los normales donde hasta digo que estoy celoso y en los que me enojo y me voy.	tristeza	0
2018-Es-04983	Hoy me partí la cabeza y me lastime en la cicatriz, casi muero llorando😂😂	tristeza	2
2018-Es-06785	me desperte re temprano lpm y mi novia encima debe estar en el quinto sueño 	tristeza	0
