identify	message	emotion	category
2018-Es-06254	@LeoneLGomezz_10 ... si quieren que este bien que me traten bien 😠	enfado	NONE
2018-Es-06923	@_spessartine —Se levanta y empieza a correr. El enano corre tras él furioso.—	enfado	NONE
2018-Es-04930	Odio mi actitud de nunca querer hacer nada, que me pregunten "hay que hacer esto?", decir "si" y seguir sin hacerlo, DALE BOLUDA HACE ALGO	enfado	NONE
2018-Es-05660	Me dieron ganas de comer gomitas y por acá no venden😡😡😡	enfado	NONE
2018-Es-04907	Tengo alto resentimiento con mi hermano últimamente	enfado	NONE
2018-Es-02948	Estaba para un crobar furioso eh, dió mio. No veo la hora de dejar de laburar aca y hacer lo que quiero. No falta tanto ya	enfado	NONE
2018-Es-00467	La Negra no esta para pelear, pero lleva como mil horas peleando, toda ofendida de la vida. Jajajajaja te amo.	enfado	NONE
2018-Es-01577	Creía haber encontrado calma pero volví a enloquecer	enfado	NONE
2018-Es-03786	A raiz de tanta ira causada a iglesia catolica apoyo a #LGTB por Lorena Castillo, Ulloa deberia devolver los millones incluso a nunciatura.	enfado	NONE
2018-Es-05006	Déja de besar y dime la verdad —frunció el ceño como un niño pequeño enfadado sacándole de paso la lengua.	enfado	NONE
2018-Es-05058	Por qué Tomás sigue a todas mis amigas? 	enfado	NONE
2018-Es-04416	Cuando me enojo con una persona y me da mucha bronca lloro, puteo, me pego y tiro los pelos sola. *ssssssanita*	enfado	NONE
2018-Es-05627	@OlamAmezkaita no solo a mi, varias personas recibimos esa respuesta y por el enojo se empezaron a mover las sillas. @anabeatrizglez1	enfado	NONE
2018-Es-05623	les juro que estoy re mil indignada	enfado	NONE
2018-Es-05984	Estoy en mi momento de rabia y odio contra el mundo. Los odio a todos.	enfado	NONE
2018-Es-01365	@zacrobinsonff @maftdaddario Es de broma, jamás me enojo con él siempre nos estamos cogiendo en dm	enfado	NONE
2018-Es-02011	@CamiRa24 Por que te enojo	enfado	NONE
2018-Es-03514	Por un momento creí que no regresaríamos hoy de nuestro quick trip 😲 #miedo	enfado	NONE
2018-Es-03576	@Eury66 @MrCotorro Si fuera mujer me sentiria ofendida pero como no entonces, muerete :v	enfado	NONE
2018-Es-06173	@tioratero @ManuelaCarmena Insisto, para decir imbecilidades e insultar a la gente prueba en tu propia casa con tu propia madre, saludos	enfado	NONE
