identify	message	emotion	category
2018-Es-02154	amelia entró en pánico	tristeza	1
2018-Es-06009	@Fabr1_320 Deberías quitarme de tus notificaciones, sigo ofendida por lo de la peli, cambio y fuera	tristeza	1
2018-Es-02096	Tengo que estudiar, qué paja. Hace tiempo no tenía que hacerlo, la vida era más linda 😥	tristeza	1
2018-Es-04708	Asumo mis consecuencia y admito mis errores, esos que excusé, por nerviosismo, por temores.	tristeza	1
2018-Es-06407	via @glendyvasquez: @carloshenrypari  Amargado ... Solo era una pregunta y yaaa ... Deje la amargura	tristeza	1
2018-Es-05896	@Oskhar111099 Donde estaba independiente es lo que te digo!!! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años	tristeza	0
2018-Es-06117	No quería q salte mi ex y retruquemos lo q faltò, lo q no hizo, etc etc etc 😔 , es un volver al pasado , y es triste. Puto día .	tristeza	3
2018-Es-06012	@Clentrus @DalasReview lo consideras alguien terrible,pero¿te das cuenta de lo que escribes?	tristeza	0
2018-Es-01708	El cobarde muere muchas veces. El vals,nte solo una. - Willian Shakespeare	tristeza	0
2018-Es-03468	@kasoamp Qué horror este engendro. Repulsivo.	tristeza	1
2018-Es-06855	El suicidio es el capítulo final de una novela más larga e incomprendida. No se resuelve diciéndole a alguien que "no esté triste" y ya.	tristeza	2
2018-Es-00505	@unknownlxstsoul tarde puti, ya perdió la gracia	tristeza	0
2018-Es-04417	@pablopecaro @poderAGMX @arnemx @arelibiciteka @banquetalibre @LBallesterosM @ReyPeatonCDMX @Peaton_No A pesar de que mueran ciclistas.	tristeza	1
2018-Es-01372	@PLAYMFS @kukkjeon Biaaaaaaaaas 	tristeza	0
2018-Es-02919	Me kga la verga que no cuelguen la llamada en cuanto digo adiós, súper incómodo tener que esperar a que cuelguen, gastan pila.	tristeza	0
2018-Es-02190	EL PUEBLO DESPERTO , Y VA A CRISTALIZAR LA LIBERTAD DESTRUIDA POR TODOS AQUELLOS QUE LA JUSTICIA LOS ESPERA CON MUCHA ANSIEDAD T ANHELO	tristeza	0
2018-Es-06333	ok ME CANSE D ESPERAR voy a dormir #enojada #estresada #indignada	tristeza	2
2018-Es-05932	Abril tiene prohibido quejarse conmigo.	tristeza	0
2018-Es-03758	Tengo re abandonado el tw	tristeza	1
2018-Es-03049	@pxx_santos soldada ferida, #triste	tristeza	2
2018-Es-06596	Al final de la oscuridad siempre se ve la luz	tristeza	0
2018-Es-00351	Es peligroso acostumbrarse a alguien.	tristeza	2
2018-Es-05394	Campañon, Campañon!!! 🔴⚪⚫   Terrible lo de chaca💪💪💪💪	tristeza	0
2018-Es-04702	Estoy cansado de siempre dar y no recibir nada a cambio.	tristeza	3
2018-Es-00502	SIGO LLORANDO SANGRE POR EL SUICIDIO DE CHESTER!!!! WEY!!!!! NO PUEDO!!! ;;	tristeza	3
2018-Es-04831	@ToadAmarillo Todas las partidas de worlds y trasnochado a clases 😢	tristeza	0
2018-Es-01058	Me ahogo, necesito romper en llanto y no lo hago, porque no quiero, porque estoy cansada de las lágrimas, y más aún del dolor de cabeza	tristeza	3
2018-Es-02397	No sé cómo le haces para que no pueda durar enojada contigo más de 2 días	tristeza	0
2018-Es-01109	Algo que jamas habra en tecmilenio: elotero en la salida #Triste 😢	tristeza	1
2018-Es-00044	Horrible es todo lo que te aferras y lo difícil que es soltar	tristeza	3
2018-Es-01670	@lutero_marrano El título del libro es terrible y muchos de los planteamientos de Beck son ingenuos, pero me agradó esa parte.	tristeza	0
2018-Es-02684	Terrible día pasé hoy 😊❤❤	tristeza	2
